TEAM,DIV, GP, W, L, OT, P, ROW, GF, GA, DIFF, HOME, AWAY, S/O, L10, STREAK
 ANAHEIM,P,70,45,18,7,97,43,222,178,44,24-7-4,21-11-3,6-Feb,37350,LOST 2
 BUFFALO,A,70,20,42,8,48,14,136,206,-70,12-20-05,08-22-03,4-Jun,02-8-00,WON 1
 CALGARY,P,71,29,35,7,65,24,181,210,-29,16-17-3,13-18-4,3-May,06-4-00,WON 1
 CAROLINA,M,71,31,31,9,71,30,177,200,-23,17-14-5,14-17-4,3-Jan,05-5-00,WON 1
 CHICAGO,C,71,41,15,15,97,36,240,184,56,23-6-7,18-9-8,8-May,06-3-01,WON 2
 COLORADO,C,71,44,21,6,94,41,216,194,22,23-11-3,21-10-3,3-Mar,05-4-01,LOST 1
 COLUMBUS,M,71,36,29,6,78,31,200,194,6,19-13-3,17-16-3,2-May,05-4-01,LOST 2
 DALLAS,C,70,33,26,11,77,30,199,202,-3,19-10-7,14-16-4,5-Mar,05-4-01,WON 1
 DETROIT,A,70,33,24,13,79,28,186,196,-10,15-11-9,18-13-4,8-May,05-4-01,WON 3
 EDMONTON,P,72,25,38,9,59,22,178,236,-58,13-18-3,12-20-06,3-Mar,05-4-01,LOST 2
 FLORIDA,A,71,26,37,8,60,19,173,229,-56,13-15-5,13-22-3,6-Jul,03-6-01,LOST 2
 LOS ANGELES,P,71,40,25,6,86,33,174,149,25,21-13-3,19-12-3,4-Jul,07-3-00,WON 2
 MINNESOTA,C,71,36,24,11,83,29,176,175,1,23-8-5,13-16-6,7-Jul,03-3-04,LOST 1
 MONTREAL,A,72,39,26,7,85,34,186,183,3,20-12-5,19-14-2,3-May,05-5-00,WON 1
 NASHVILLE,C,71,30,31,10,70,29,171,213,-42,15-17-4,15-14-6,7-Jan,04-6-00,WON 1
 NEW JERSEY,M,71,30,28,13,73,30,172,185,-13,17-10-7,13-18-6,0-8,04-6-00,LOST 1
 NY ISLANDERS,M,71,27,35,9,63,21,197,239,-42,11-18-08,16-17-1,4-Jun,04-5-01,WON 1
 NY RANGERS,M,72,39,29,4,82,35,190,175,15,16-16-4,23-13-0,2-Apr,06-3-01,WON 3
 OTTAWA,A,70,28,29,13,69,25,199,237,-38,13-15-6,15-14-7,6-Mar,02-6-02,LOST 4
 PHILADELPHIA,M,70,38,25,7,83,35,203,198,5,22-12-1,16-13-6,5-Mar,08-1-01,WON 5
 PHOENIX,P,71,34,26,11,79,29,196,201,-5,21-12-3,13-14-8,5-May,07-3-00,LOST 1
 PITTSBURGH,M,71,46,20,5,97,41,222,177,45,26-6-2,20-14-3,2-May,05-4-01,LOST 1
 SAN JOSE,P,72,46,18,8,100,36,221,173,48,26-5-5,20-13-3,6-Oct,07-1-02,OT 1
 TAMPA BAY,A,71,39,24,8,86,33,211,189,22,20-8-5,19-16-3,5-Jun,05-2-03,OT 1
 TORONTO,A,72,36,28,8,80,27,211,223,-12,22-13-1,14-15-7,4-Sep,04-6-00,LOST 4
 VANCOUVER,P,72,32,30,10,74,27,172,194,-22,17-11-6,15-19-4,7-May,04-6-00,WON 1
 WASHINGTON,M,72,34,27,11,79,25,208,213,-5,20-11-5,14-16-6,8-Sep,05-4-01,WON 1
 WINNIPEG,C,72,32,31,9,73,26,201,211,-10,17-15-6,15-16-3,6-Jun,02-5-03,LOST 1
 X - BOSTON,A,71,49,17,5,103,47,229,151,78,28-7-2,21-10-3,3-Feb,10-0-0,WON 12
 X - ST. LOUIS,C,71,48,16,7,103,40,228,160,68,25-5-4,23-11-3,3-Aug,07-2-01,WON 1
